text,translated_text,label
 ignora al otro es un capullo el problema con este youtuber denuncia el acoso cuando no afecta a la gente de izquierdas por ejemplo en su video sobre el gamergate presenta como normal el acoso que reciben fisher anita o zöey cuando hubo hasta amenazas de bomba ,ignora al otro es un capullo el problema con este youtuber denuncia el acoso cuando no afecta a la gente de izquierdas por ejemplo en su video sobre el gamergate presenta como normal el acoso que reciben fisher anita o zöey cuando hubo hasta amenazas de bomba,1
 si comicsgate se parece en algo a gamergate pues muy bien por el acoso y si se está haciendo un sabotaje porque hay personajes que no os gustan entonces gracias por darme la razón sois unos lloricas ofendidos ,si comicsgate se parece en algo a gamergate pues muy bien por el acoso y si se está haciendo un sabotaje porque hay personajes que no os gustan entonces gracias por darme la razón sois unos lloricas ofendidos,0
 lee sobre gamergate y como eso ha cambiado la manera en la cual nos comunicamos en el internet los fanboys de halo están tóxicos pero los fanboys de otras comunidades juegos también han querido coger pauta con eso man shrugging mediumdark skin tone,lee sobre gamergate y como eso ha cambiado la manera en la cual nos comunicamos en el internet los fanboys de halo están tóxicos pero los fanboys de otras comunidades juegos también han querido coger pauta con eso man shrugging mediumdark skin tone,0
 entonces como así es el mercado lo mejor no es hacer algo para cambiarlo y seguir alimentando el machismo en los consumidores en lugar apoyar a gente como las víctimas del gamergate acerca de lo otro el tenían implica un imperativo entonces no entiendo lo del buscaban ,entonces como así es el mercado lo mejor no es hacer algo para cambiarlo y seguir alimentando el machismo en los consumidores en lugar apoyar a gente como las víctimas del gamergate acerca de lo otro el tenían implica un imperativo entonces no entiendo lo del buscaban,1
 aaah sí andrew dobson el que se dedicó a echar mierda del gamergate al más puro estilo white knight y todo deviantart se le echó encima,aaah sí andrew dobson el que se dedicó a echar mierda del gamergate al más puro estilo white knight y todo deviantart se le echó encima,0
 esta gringa sigue llorando por el gamergate que coincidencia que tenga pronombres en su perfil,esta gringa sigue llorando por el gamergate que coincidencia que tenga pronombres en su perfil,1
 conoces la decoracion estilo gamer para adolescentes te lo explicamos en nuestro post red heart selector sigues inspira c ional cuadrado interior is mo home decor ideas madrid chamber i salamanca gamers gamer gate gamer girl ,conoces la decoracion estilo gamer para adolescentes te lo explicamos en nuestro post red heart selector sigues inspira c ional cuadrado interior is mo home decor ideas madrid chamber i salamanca gamers gamer gate gamer girl,0
ces 2022 asus rog rise of gamers evento de lanzamiento amd2022 amd amd red team am dry zen intel nvidia nvidia omni verse nvidia geforce nvidia studio gamer girl gamers gamer gate gamers unite game room stock market stocks stocks to buy stock,ces 2022 asus rog rise of gamers evento de lanzamiento amd2022 amd amd red team am dry zen intel nvidia nvidia omni verse nvidia geforce nvidia studio gamer girl gamers gamer gate gamers unite sala de juegos mercado de valores acciones acciones para comprar acciones,0
 mierda me siento vieja cuando decís gamergate que bardo xd,mierda me siento vieja cuando decís gamergate que bardo xd,0
 bannon tiene también historia aquí hablan de él buen podcast 16 los ganadores de gamergate ,bannon tiene también historia aquí hablan de él buen podcast 16 los ganadores de gamergate,0
