text,translated_text,label
 ignora al otro es un capullo el problema con este youtuber denuncia el acoso cuando no afecta a la gente de izquierdas por ejemplo en su video sobre el gamergate presenta como normal el acoso que reciben fisher anita o zöey cuando hubo hasta amenazas de bomba ,ignore the other hes an asshole the problem with this youtuber denounces harassment when it doesnt affect people on the left for example in his video about gamergate he presents the harassment received by fisher anita or zöey as normal when there were even bomb threats,1
 si comicsgate se parece en algo a gamergate pues muy bien por el acoso y si se está haciendo un sabotaje porque hay personajes que no os gustan entonces gracias por darme la razón sois unos lloricas ofendidos ,if comicsgate is something like gamergate well good for the bullying and if sabotage is taking place because there are characters you dont like then thanks for agreeing with me youre offended whiners,0
 lee sobre gamergate y como eso ha cambiado la manera en la cual nos comunicamos en el internet los fanboys de halo están tóxicos pero los fanboys de otras comunidades juegos también han querido coger pauta con eso man shrugging mediumdark skin tone,read about gamergate and how it has changed the way we communicate on the internet halo fanboys are toxic but fanboys from other gaming communities have also wanted to take the lead man shrugging mediumdark skin tone,0
 entonces como así es el mercado lo mejor no es hacer algo para cambiarlo y seguir alimentando el machismo en los consumidores en lugar apoyar a gente como las víctimas del gamergate acerca de lo otro el tenían implica un imperativo entonces no entiendo lo del buscaban ,so since the market is like that the best thing is not to do something to change it and continue feeding machismo in consumers instead of supporting people like the victims of gamergate regarding the other thing they had an imperative so i dont understand what they were looking for,1
 aaah sí andrew dobson el que se dedicó a echar mierda del gamergate al más puro estilo white knight y todo deviantart se le echó encima,aaah yes andrew dobson the one who dedicated himself to throwing shit from gamergate in the purest white knight style and all of deviantart fell on him,0
 esta gringa sigue llorando por el gamergate que coincidencia que tenga pronombres en su perfil,this gringa keeps crying over gamergate what a coincidence that she has pronouns in her profile,1
 conoces la decoracion estilo gamer para adolescentes te lo explicamos en nuestro post red heart selector sigues inspira c ional cuadrado interior is mo home decor ideas madrid chamber i salamanca gamers gamer gate gamer girl ,do you know the gamer style decoration for teenagers we will explain it to you in our post red heart selector follow us for inspiration c ional squared interior is mo home decor ideas,0
ces 2022 asus rog rise of gamers evento de lanzamiento amd2022 amd amd red team am dry zen intel nvidia nvidia omni verse nvidia geforce nvidia studio gamer girl gamers gamer gate gamers unite game room stock market stocks stocks to buy stock,ces 2022 asus rog rise of gamers evento de lanzamiento amd2022 amd amd red team am dry zen intel nvidia nvidia omni verse nvidia geforce nvidia studio gamer girl gamers gamer gate gamers unite game room stock market stocks stocks to buy stock,0
 mierda me siento vieja cuando decís gamergate que bardo xd,shit i feel old when you say gamergate what a bard xd,0
 bannon tiene también historia aquí hablan de él buen podcast 16 los ganadores de gamergate ,bannon also has a story here they talk about him good podcast 16 the winners of gamergate,0
me perdí la charada sicotica del gamer gate bueno no tanto gracias a smiling face with smiling eyes pero no me perderé ésta ,i missed the gamer gate psychotic charade well not so much thanks to smiling face with smiling eyes but i wont miss this one,0
 hasta ese momento la izquierda mucho más politizada por su carácter absolutizador y mejor organizada tenía el monopolio del control en las redes pen selector alejandro cuevas,until then the left much more politicized due to its absolutizing and better organized nature had the monopoly of control over the networks pen selector alejandro cuevas,0
 y por qué digo que son dogwhistles porque esto ya lo hemos vivido una y otra y otra vez en los cómics pasó con comics gate en 2017 un hijo bastardo de gamer gate el origen oscuro de todos estos niños ratas berrinchudos y pues ya chole no ,and why do i say they are dogwhistles because we have already experienced this over and over and over again in the comics it happened with comics gate in 2017 a bastard son of gamer gate the dark origin of all these tantrum rat children and well no more chole,0
 cuando te toque experimentar algo similar al gamergate veremos si mantienes la misma postura de hoy juas juas juas ,when it is your turn to experience something similar to gamergate we will see if you maintain the same position as today juas juas juas,0
la que se levanto sin miedo al exito fue la rata nro 1 de rust t co ezxnddepqerust gamer girls gamer gate ,the one that got up without fear of success was rat number 1 of rust t co ezxnddepqerust gamer girls gamer gate,0
 gamergate causo esto gamergate causo esto otro gamergate mato a esta persona gamergate gamergate gamergate putoooos reporteros de mieerdaaa,gamergate caused this gamergate caused this another gamergate killed this person gamergate gamergate gamergate fucking shitty reporters,0
 en 2014 empezó gamergate así que igual mejor no,gamergate started in 2014 so maybe its better not,0
los mejores 100 videojuegos de la historia grinning facegrinning facegrinning facegrinning face gamers gamer gate ,top 100 videogames ever grinning facegrinning facegrinning facegrinning face gamers gamer gate,0
the gays despues de escuchar babylon house labs cuando they harassed gaga pa que lo saque ,the gays after listening to babylon haus labs when they harassed gaga to take it out,0
 te refieres a algo así ,you mean something like that,0
 lol yo me metí en un lío con esa comunidad de cosplay porque alguien vio sin contexto mi story defendiendo una pana who has being harassed y yo diciendo que el bully se copió de sus cosplays y fue ella a fb a ridiculizarme porque “los cosplays no se pueden copiar”,lol i got into trouble with that cosplay community because someone saw my story without context defending a corduroy who has been harassed and me saying that the bully copied her cosplays and she went to fb to ridicule me because cosplays dont know can copy,0
hay hembras de colibrí de cuello blanco florisuga mellivora que adoptan una coloración similar al plumaje de los machos para evitar a los machos más agresivos de esta forma escapan de sus intentos de seducción y tienen más tiempo para alimentarse ,there are female whitenecked hummingbirds florisuga mellivora that adopt a coloration similar to the plumage of the males to avoid the most aggressive males in this way they escape their seduction attempts and have more time to feed,0
y’all really harassed this person por algo tan inofensivo lmao a la verdad que no tienen empatía ,yall really harassed this person for something so harmless lmao to be honest they have no empathy,0
 quiet sexist ,quiet sexist,1
fuentes backhand index pointing down light skin toneman technologist medium skin tone fin del hilo conoce más sobre tu derecho a creer en ,sources backhand index pointing down light skin toneman technologist medium skin tone end of thread learn more about your right to believe in,0
this artist is only 20 that is so young to be harassed like this no les dan vergüenza hablar tan mal de alguien tan joven regardless of what the original convo was about la anti negritud de mestizos y blancos en la diáspora y en latinoamérica es algo asqueroso ,this artist is only 20 that is so young to be harassed like this they are not ashamed to speak so badly of someone so young regardless of what the original convo was about the antiblackness of mestizos and whites in the diaspora and in latin america is something disgusting,0
 ay se me olvidaban las pruebas por aquello de no hablar sobre invenciones como tú otra ,oh i forget the tests for not talking about inventions like you another,0
she harassed the senator así que váyanse a mamar ,she harassed the senator so go suck,0
eeuu documentos desclasificados revelan que misteriosos drones en julio de 2019 acosaron a buques de guerra yanquis en las costas de california foia mysterious drones harassed us navy warships off california ,usa declassified documents reveal that mysterious drones harassed us navy warships off california in july 2019 foia mysterious drones harassed us navy warships off california,0
devastador pero con crítica constructiva chris cuomo sexually harassed me i hope he’ll use his power to make change ,devastador pero con crítica constructiva chris cuomo sexually harassed me i hope he’ll use his power to make change,0
 loca d mierda en k momento,crazy shit at what time,1
 el chico sandman d escuela católica que viajó a washington con un grupo de compañeros y fueron harassed y atacados x black israelites secta y un nativo americano y que cnn etc dijeron que fie al revés causando expulsiones amenazas de muerte etc aprox 100 millones ganó,the sandman boy from catholic school who traveled to washington with a group of classmates and they were harassed and attacked by black israelites sect and a native american and that cnn etc said he was backwards causing expulsions death threats etc approx 100 million won,0
 encima siempre a la misma pobre tisi she’s being harassed,above always the same poor tisi shes being harassed,1
cuando pretendieron defender la libertad de expresión de académicos quejándose de que de alguna manera la gente trans los estaba silenciando skullskullskullskull,when they pretended to defend the free speech of academics complaining that trans people were somehow silencing them skullskullskullskull,0
balance scale selector piden más de tres años de cárcel para el vecino de torrevieja acusado de colgar el dni de la víctima de la manada en un foro lama nada,balance scale selector request more than three years in prison for the neighbor of torrevieja accused of hanging the id of the victim of the herd in a forum lama nada,0
 pues mira no son hombres cada uno con su familia amistades y haciendo vida normal igual que los de lamanada y los que asesinan a diario a sus parejas por eso deberíamos preguntarnos qué coño está pasando con los hombres para q actúen así y qué clase de sociedad queremos ,well look they are not men each one with their family friends and leading a normal life just like those of the herd and those who murder their partners daily so we should ask ourselves what the hell is happening to men so that they act like this and what kind of society we want,1
 lama nada agresión sexual en navarra tienen dni muy español había hasta un agente expulsado por sus delitos de guardia civil el cátedro es el ejemplo de la derecha caverna nosotros ser español síndrome marujita díaz ,lama nothing sexual assault in navarra they have a very spanish id there was even an agent expelled for his crimes from the civil guard the chair is the example of the right cave we being spanish marujita díaz syndrome,1
este viernes 22 do sl intern as j auria lama nada teatro entrevista completa a ,this friday 22nd sl intern as j auria lama nothing theater full interview to,0
caso lama nada heredia es la abogada de la víctima telephone receiver “mal llamado así fue una violación grupal y no por animales sin raciocinio” expresa “va a juicio oral… agarré el caso luego de que personas quedaron fuera del proceso tras aquel episodio del ‘desahogo sexual’ ” cuenta ,lama nada heredia case is the lawyer of the victim telephone receiver badly called that was a group rape and not by animals without reasoning she expresses it is going to oral trial i seized the case after people were left out of the process after that episode of  sexual release ” account,1
alejandro saavedra violador parte de lama nada en scz finalmente sentenciado a 20 años seva a caer,alejandro saavedra rapist part of lama nothing in scz finally sentenced to 20 years seva to fall,1
